2023-05-03 00:45:39 - INFO     | Scaping Langchain Docs
2023-05-03 00:49:11 - INFO     | Saving data `langchain_docs` to `data/raw/langchain_docs.pkl`
2023-05-03 00:52:03 - INFO     | Saving data `langchain_docs` to `data/raw/langchain_docs.pkl`
2023-05-03 00:52:14 - INFO     | Loading data `langchain_docs` from `data/raw/langchain_docs.pkl`
2023-05-03 00:54:44 - INFO     | Timer Started: Scraping Langchain Docs
2023-05-03 00:54:47 - INFO     | Timer Finished: (2.78 seconds)
2023-05-03 00:54:47 - INFO     | Scraped 10 pages from Langchain Docs
2023-05-03 00:56:39 - INFO     | Timer Started: Scraping Langchain Docs
2023-05-03 01:03:12 - INFO     | Timer Finished: (392.77 seconds)
2023-05-03 01:03:12 - INFO     | Scraped 1238 pages from Langchain Docs
2023-05-03 01:03:12 - INFO     | Saving data `langchain_docs` to `data/raw/langchain_docs.pkl`
2023-05-03 01:03:12 - INFO     | Backing up current data `langchain_docs` to `data/raw/langchain_docs.pkl.2023_05_03_01_03_12`
2023-05-03 02:13:23 - INFO     | Loading data `langchain_docs` from `data/raw/langchain_docs.pkl`
2023-05-03 02:14:51 - INFO     | Loading data `langchain_docs` from `data/raw/langchain_docs.pkl`
2023-05-03 02:23:21 - WARNING  | Created a chunk of size 1510, which is longer than the specified 400
2023-05-03 02:23:21 - WARNING  | Created a chunk of size 437, which is longer than the specified 400
2023-05-03 02:23:24 - WARNING  | Created a chunk of size 505, which is longer than the specified 400
2023-05-03 02:23:24 - WARNING  | Created a chunk of size 815, which is longer than the specified 400
2023-05-03 02:23:24 - WARNING  | Created a chunk of size 872, which is longer than the specified 400
2023-05-03 02:23:24 - WARNING  | Created a chunk of size 660, which is longer than the specified 400
2023-05-03 02:23:33 - INFO     | Saving data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl`
2023-05-03 02:25:28 - INFO     | Loading data `langchain_docs` from `data/raw/langchain_docs.pkl`
2023-05-03 02:25:28 - INFO     | Transforming 1238 pages from Langchain Docs
2023-05-03 02:25:28 - INFO     | Timer Started: Chunking Langchain Docs
2023-05-03 02:25:41 - WARNING  | Created a chunk of size 1510, which is longer than the specified 400
2023-05-03 02:25:41 - WARNING  | Created a chunk of size 437, which is longer than the specified 400
2023-05-03 02:25:44 - WARNING  | Created a chunk of size 505, which is longer than the specified 400
2023-05-03 02:25:44 - WARNING  | Created a chunk of size 815, which is longer than the specified 400
2023-05-03 02:25:44 - WARNING  | Created a chunk of size 872, which is longer than the specified 400
2023-05-03 02:25:44 - WARNING  | Created a chunk of size 660, which is longer than the specified 400
2023-05-03 02:25:53 - INFO     | Timer Finished: (24.70 seconds)
2023-05-03 02:25:53 - INFO     | Chunked into 26192 parts.
2023-05-03 02:25:53 - INFO     | Saving data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl`
